Student_ID,College_Tier,Department,CGPA,Gender,Attendance_%,Sessions_Attended,Login_Frequency,Time_Spent_Hours,Active_Days,Videos_Watched,Video_Completion_%,Quizzes_Attempted,Quiz_Score,Doubts_Raised,Doubts_Resolved,Hackathons,Workshops,Placement_Status
60,3,Civil,6.66,Female,99,36,4,38,6,146,80,28,67,15,5,2,5,1
61,3,ECE,6.06,Male,78,120,1,37,2,194,60,29,70,10,2,4,9,0
62,1,Mechanical,8.8,Male,76,152,5,23,4,104,95,41,65,6,18,1,0,1
63,1,Mechanical,5.43,Male,59,130,3,17,4,94,95,22,52,3,6,2,0,1
64,3,Civil,9.44,Female,43,50,6,27,6,68,66,43,78,15,19,1,4,1
65,2,ECE,5.88,Female,56,177,4,20,6,48,54,12,81,10,3,4,5,0
66,4,Civil,9.9,Female,64,69,4,10,1,119,91,40,64,19,13,0,4,0
67,1,Mechanical,9.94,Female,47,142,3,2,5,135,38,10,86,4,9,1,4,0
68,4,Mechanical,6.99,Female,96,71,3,39,3,125,35,37,56,5,4,1,7,1
69,2,Mechanical,9.94,Female,93,87,1,1,6,188,95,47,86,3,14,0,6,1
70,2,CSE,9.35,Female,80,167,3,30,1,40,44,31,59,15,14,0,4,1
71,2,Mechanical,5.41,Male,66,111,4,39,3,40,90,19,48,15,1,4,1,0
72,1,ECE,9.74,Female,95,13,2,5,6,21,44,21,63,19,1,4,7,0
73,2,CSE,5.21,Male,70,93,1,28,5,142,87,43,65,13,5,3,9,0
74,1,Mechanical,5.91,Male,47,41,5,37,4,23,62,41,83,11,17,0,6,1
75,2,ECE,7.92,Male,64,117,1,38,5,180,91,28,66,18,1,2,8,0
76,4,Mechanical,5.4,Male,99,70,4,8,4,37,94,8,98,9,4,4,6,0
77,4,ECE,5.81,Male,48,92,6,6,4,84,88,37,78,2,16,2,1,1
78,3,ECE,9.77,Female,81,115,1,5,1,72,30,39,64,11,13,4,4,1
79,4,Mechanical,9.97,Female,83,88,1,1,3,184,83,46,83,5,16,1,8,1
80,3,Mechanical,8.99,Male,82,97,3,28,4,150,80,22,69,2,14,2,4,1
81,4,CSE,7.58,Female,40,169,2,39,3,192,48,26,69,11,11,1,2,1
82,1,Mechanical,9.5,Female,75,122,2,23,4,96,88,11,61,0,4,4,1,0
83,4,ECE,5.56,Female,69,111,5,29,4,70,32,25,70,16,12,4,9,1
84,3,Civil,9.71,Male,87,190,6,29,1,105,76,20,88,18,3,2,3,1
85,3,CSE,6.76,Female,88,106,6,8,1,111,95,17,41,3,10,1,6,0
86,2,ECE,9.31,Male,93,192,5,38,6,43,47,33,66,5,11,3,0,1
87,1,ECE,8.34,Male,89,121,6,21,6,35,91,17,44,7,19,3,1,0
88,4,Civil,9.8,Female,87,131,4,39,3,42,73,11,67,11,12,0,2,0
89,2,Mechanical,9.32,Female,85,66,5,32,3,176,96,42,49,10,13,3,6,1
90,4,ECE,9.44,Female,94,197,6,38,6,82,34,30,47,14,15,0,7,1
91,4,Civil,8.16,Male,53,190,6,35,6,55,56,27,97,9,5,2,3,0
92,2,Civil,9.17,Male,96,81,3,26,1,105,77,24,43,17,7,2,3,1
93,2,Mechanical,8.79,Female,81,56,5,16,4,129,31,16,64,1,1,2,2,1
94,2,Civil,5.81,Male,87,53,3,15,6,64,63,18,77,8,9,0,5,1
95,2,Civil,8.24,Male,85,89,6,7,1,176,84,28,93,4,9,4,7,1
96,2,Civil,5.74,Female,43,69,5,6,2,149,75,35,58,6,6,2,5,1
97,4,Civil,9.35,Female,65,111,3,33,2,55,67,48,63,9,16,2,1,1
98,2,Civil,5.33,Male,53,78,1,15,2,192,95,43,80,1,15,0,7,0
99,1,Civil,9.94,Female,97,128,4,1,6,94,77,33,47,11,12,3,4,1
100,3,ECE,7.0,Female,79,10,5,26,6,96,69,7,47,17,8,4,5,1
101,2,CSE,5.85,Female,84,147,5,33,3,159,36,22,67,10,3,4,1,0
102,2,Mechanical,9.68,Male,75,107,2,31,5,184,35,15,43,8,4,1,0,1
103,4,CSE,5.23,Male,86,74,1,6,4,96,43,31,99,14,19,4,0,1
104,2,Mechanical,7.35,Female,42,158,4,5,2,194,85,31,88,16,12,0,6,1
105,2,CSE,8.85,Female,97,43,2,9,5,70,31,40,46,17,4,4,6,0
106,2,Mechanical,6.58,Male,59,26,6,24,1,187,37,41,43,14,5,1,5,1
107,4,Civil,7.64,Male,97,148,5,23,1,32,87,22,83,18,9,1,9,1
108,2,CSE,8.5,Female,45,34,5,7,4,75,50,8,87,11,5,2,6,1
109,3,CSE,9.76,Female,60,129,6,16,5,139,55,43,82,16,14,4,8,1
110,4,Mechanical,5.51,Male,50,138,1,12,2,146,39,21,59,17,8,3,5,1
111,3,Mechanical,5.79,Female,66,160,6,38,2,190,32,47,70,10,19,0,1,1
112,4,ECE,7.54,Male,69,66,6,2,6,12,37,11,53,6,10,0,1,0
113,2,Civil,7.09,Female,94,76,3,30,6,169,83,46,42,10,10,1,5,1
114,3,Civil,7.05,Female,53,34,1,23,6,103,72,44,86,9,10,2,2,1
115,4,ECE,6.48,Female,86,90,3,1,4,103,71,17,59,14,4,4,0,0
116,1,Mechanical,7.8,Male,57,166,3,14,6,195,70,16,76,5,4,2,2,1
117,2,Civil,9.42,Female,45,75,2,12,4,12,99,25,68,7,2,4,3,1
118,4,Mechanical,5.8,Male,83,79,4,32,1,140,96,27,50,6,17,1,4,1
119,1,Civil,6.08,Female,80,62,6,16,3,135,89,23,90,3,17,1,2,0
120,4,CSE,8.35,Female,71,24,2,27,6,150,95,31,50,10,8,1,3,1
121,1,CSE,5.28,Male,72,191,2,22,4,117,71,37,62,14,18,4,8,1
122,2,Civil,8.37,Female,91,126,4,19,2,50,59,24,60,13,19,4,2,1
123,3,Civil,6.57,Male,94,128,6,31,3,54,86,39,47,16,16,2,3,0
124,1,Civil,6.79,Female,51,145,3,30,1,90,31,38,74,16,8,3,5,1
125,4,ECE,7.03,Female,43,56,5,34,4,140,59,37,95,2,0,2,4,1
126,2,Civil,6.75,Male,89,75,2,22,1,174,53,38,85,18,18,0,7,1
127,1,ECE,9.21,Female,93,126,6,28,4,94,41,25,45,2,1,2,0,1
128,4,ECE,9.73,Female,75,64,3,3,2,150,78,6,91,5,8,3,1,1
129,4,CSE,7.74,Male,88,92,3,12,6,49,41,5,67,6,13,2,5,1
130,4,Civil,7.91,Male,82,127,3,37,3,34,34,28,51,13,12,4,5,1
131,1,CSE,5.35,Female,50,151,1,37,5,107,84,25,74,12,3,4,8,1
132,1,CSE,8.57,Male,75,44,2,32,6,140,46,21,42,2,16,0,4,1
133,1,ECE,7.92,Male,54,185,3,37,5,53,91,29,91,12,5,1,7,0
134,3,Mechanical,5.25,Female,63,66,4,18,2,70,50,37,85,3,17,1,9,0
135,1,ECE,5.99,Male,94,166,6,19,1,70,39,26,44,14,4,2,2,0
136,1,CSE,6.01,Female,72,192,4,6,3,90,49,10,51,4,7,3,3,1
137,1,ECE,5.85,Male,67,48,5,5,3,198,78,13,76,5,9,4,9,1
138,3,ECE,8.29,Female,79,57,1,8,4,104,75,16,91,13,1,3,3,1
139,1,ECE,9.64,Male,43,46,5,29,6,18,80,14,60,2,14,0,3,1
140,4,Civil,8.81,Male,51,113,6,33,4,56,62,21,51,10,4,3,6,0
141,1,ECE,7.39,Male,55,121,2,17,1,103,88,36,74,16,3,0,6,0
142,4,CSE,7.02,Male,51,87,4,22,5,168,77,23,60,12,12,3,1,0
143,4,ECE,6.93,Female,85,178,2,28,2,102,99,8,80,13,12,0,6,1
144,4,Civil,8.01,Male,60,157,1,30,3,34,78,35,76,16,8,1,0,1
145,3,CSE,6.8,Female,65,55,3,26,2,29,50,46,77,14,2,2,4,0
146,3,ECE,6.13,Female,48,68,4,28,4,18,82,15,53,13,2,4,4,1
147,3,CSE,8.01,Female,59,69,1,34,5,129,31,17,90,9,17,1,2,0
148,1,Civil,6.95,Female,89,133,5,26,1,99,43,46,95,18,12,2,8,0
149,4,Mechanical,5.07,Male,93,57,3,8,4,125,69,6,63,3,17,0,6,1
150,3,Civil,5.11,Male,60,127,3,18,5,21,96,26,44,0,13,0,2,1
151,3,Civil,6.37,Male,81,43,4,2,5,17,68,6,56,1,17,2,4,1
152,1,CSE,7.56,Female,44,167,6,1,5,77,77,48,99,1,9,1,0,1
153,3,CSE,6.77,Male,91,171,2,20,6,182,82,15,52,19,16,1,6,0
154,1,Mechanical,5.12,Male,50,135,1,17,2,72,78,41,77,7,12,4,9,1
155,2,Mechanical,6.12,Male,99,192,4,25,4,84,97,45,48,0,0,0,6,1
156,3,Mechanical,5.48,Male,44,96,6,23,5,138,86,26,79,3,5,1,3,0
157,2,Civil,9.74,Male,55,26,1,20,1,109,43,49,85,12,12,3,1,1
158,1,Civil,6.56,Female,51,95,6,25,2,23,87,12,53,15,12,1,4,0
159,4,Mechanical,5.07,Female,76,82,4,32,1,88,38,13,79,7,7,3,6,0
160,3,Mechanical,8.3,Female,73,92,3,2,2,24,74,28,62,18,6,4,1,0
161,1,Mechanical,6.16,Female,61,158,5,22,5,131,52,10,59,1,2,2,0,0
162,4,ECE,7.83,Male,54,58,2,29,2,160,31,20,81,19,1,2,7,1
163,4,ECE,5.75,Male,71,52,5,14,3,146,72,24,79,17,3,2,9,0
164,2,Mechanical,9.92,Female,72,190,1,39,2,128,91,26,95,15,8,1,3,1
165,1,Civil,9.85,Male,74,160,5,23,6,167,57,40,87,3,7,0,2,1
166,4,CSE,8.28,Female,43,71,4,24,4,124,75,17,99,14,16,2,9,0
167,3,Civil,8.54,Male,55,121,6,14,5,16,67,48,73,15,6,2,0,0
168,3,CSE,7.13,Female,95,199,6,29,3,134,99,15,54,17,1,0,2,1
169,2,Mechanical,9.81,Female,49,139,5,7,5,187,96,10,93,5,4,0,5,1
170,4,ECE,7.12,Male,84,71,3,10,1,60,51,14,99,5,9,4,8,1
171,1,ECE,6.2,Female,82,28,2,23,5,47,91,47,58,1,1,3,4,1
172,3,CSE,5.58,Male,72,79,5,20,2,164,53,12,49,7,7,0,9,0
173,4,Mechanical,6.04,Male,51,181,4,28,4,194,68,15,64,2,14,3,1,1
174,4,ECE,7.86,Female,98,96,4,32,6,74,34,48,91,2,1,2,5,0
175,2,Mechanical,6.23,Female,54,190,6,38,1,15,93,44,56,14,19,3,6,1
176,3,Mechanical,8.27,Female,70,104,5,25,2,137,72,27,57,17,17,3,6,1
177,3,CSE,6.91,Male,74,111,6,37,5,22,57,21,80,16,4,3,0,1
178,1,Mechanical,9.43,Female,87,177,3,37,2,10,73,5,89,1,12,1,4,1
179,3,Mechanical,7.79,Female,62,41,3,12,3,112,90,26,68,18,6,3,8,1
180,1,CSE,8.11,Female,71,192,4,2,2,88,76,44,92,5,12,2,3,1
181,3,ECE,7.78,Female,87,120,4,4,2,116,52,8,95,2,15,3,2,1
182,2,Civil,9.43,Female,64,181,6,9,1,67,81,27,76,6,4,2,4,0
183,3,Mechanical,5.32,Male,44,11,5,33,3,28,91,47,41,1,18,4,0,1
184,1,CSE,5.34,Male,92,166,1,33,2,69,60,12,86,3,8,1,2,1
185,1,ECE,8.51,Male,97,105,4,15,2,30,30,46,94,18,17,2,8,0
186,2,Mechanical,8.84,Female,92,38,6,8,3,67,92,5,72,12,19,3,7,1
187,3,Civil,7.17,Female,80,64,5,1,3,141,36,49,72,7,5,4,3,0
188,3,ECE,6.76,Female,53,142,2,33,4,54,75,39,97,1,1,4,1,0
189,2,CSE,6.39,Female,70,102,6,5,2,35,95,11,90,17,10,2,8,1
190,3,Mechanical,6.17,Male,87,11,6,21,3,45,90,13,63,2,4,1,6,0
191,3,CSE,9.56,Male,53,133,1,6,4,19,53,45,54,3,15,2,4,1
192,1,Civil,6.48,Male,81,51,6,30,5,146,43,41,59,4,14,0,5,0
193,3,Civil,8.24,Male,53,136,3,23,2,92,44,30,89,15,7,2,7,0
194,3,CSE,8.94,Male,45,158,5,1,3,78,91,5,88,3,9,1,2,0
195,2,Mechanical,5.11,Female,98,21,6,14,4,34,89,48,57,9,4,4,3,1
196,2,CSE,5.17,Male,64,35,6,11,2,151,87,48,50,17,7,1,8,1
197,4,ECE,6.67,Female,83,157,5,16,2,36,46,38,74,7,3,3,6,1
198,1,CSE,8.48,Male,67,142,5,19,4,162,89,21,62,12,2,2,4,1
199,3,Civil,6.3,Female,88,50,4,25,3,141,48,27,84,18,7,4,3,1
200,3,Mechanical,5.01,Female,56,21,4,38,4,167,51,20,85,4,5,4,2,1
201,4,Mechanical,6.44,Male,99,73,1,25,2,121,85,21,60,8,8,4,4,1
202,3,Civil,5.45,Male,43,60,5,28,2,184,71,46,54,9,16,2,5,1
203,1,Civil,6.1,Female,67,106,2,33,2,145,84,16,51,14,3,0,4,1
204,4,ECE,6.67,Male,46,183,2,36,6,142,59,8,91,7,10,0,5,1
205,1,Civil,5.64,Male,81,167,3,1,3,21,71,32,78,10,1,2,9,1
206,4,Civil,8.53,Male,96,36,5,38,6,101,82,46,43,13,19,4,3,0
207,4,Civil,6.28,Male,45,130,2,10,4,107,82,43,55,13,11,0,5,0
208,2,Mechanical,8.31,Female,81,103,3,17,5,138,85,40,83,14,2,0,6,0
209,1,Civil,8.0,Female,95,55,1,24,2,93,60,22,58,13,3,4,8,0
210,3,CSE,9.49,Male,76,34,5,9,6,35,96,30,88,6,9,1,9,0
211,3,CSE,5.44,Male,97,120,5,1,6,144,33,27,64,16,7,2,8,0
212,1,Mechanical,6.07,Female,82,75,4,7,2,175,90,32,51,6,14,4,9,0
213,3,ECE,9.33,Male,88,115,1,20,5,121,68,36,51,12,3,3,2,0
214,3,ECE,9.11,Female,68,84,5,5,3,163,93,45,87,7,13,4,0,1
215,1,Mechanical,5.96,Female,67,138,1,28,5,117,77,19,97,4,9,0,0,0
216,4,CSE,5.54,Female,58,159,2,10,6,65,52,9,72,7,8,3,9,1
217,1,Mechanical,9.28,Female,53,74,6,20,4,70,83,6,97,8,2,2,9,1
218,4,Civil,5.89,Female,85,53,2,33,3,149,66,20,48,8,13,2,7,1
219,3,Mechanical,9.36,Male,52,194,2,5,4,78,39,29,67,12,2,4,3,0
220,3,ECE,9.81,Female,68,191,3,8,2,129,47,47,86,15,2,2,1,1
221,3,CSE,6.1,Male,74,19,6,34,5,52,96,28,66,4,5,3,0,0
222,2,ECE,9.2,Female,80,41,3,32,1,97,99,40,80,2,4,2,5,1
223,4,ECE,7.12,Male,41,195,2,6,2,43,38,14,51,10,0,0,4,1
224,2,CSE,8.94,Female,41,86,4,16,2,186,72,41,43,1,9,1,9,1
225,2,Civil,7.04,Female,65,15,2,22,6,28,63,13,74,0,19,0,2,1
226,1,CSE,5.35,Female,40,107,6,8,4,179,72,31,60,1,19,4,2,0
227,2,CSE,8.56,Male,67,146,4,32,2,152,42,46,79,2,12,2,9,0
228,1,Mechanical,5.75,Male,76,93,2,35,3,129,85,21,66,11,9,0,2,1
229,1,CSE,9.64,Male,73,18,2,15,1,37,83,12,60,15,8,3,6,0
230,2,Mechanical,7.09,Female,85,40,3,22,4,133,64,19,78,4,1,4,9,1
231,4,ECE,5.41,Female,63,93,2,39,5,187,74,41,49,0,3,0,1,1
232,4,CSE,6.14,Female,88,180,1,29,6,174,47,29,63,9,3,3,7,1
233,4,Civil,9.31,Female,99,47,2,23,4,59,37,17,98,4,12,4,9,0
234,4,Mechanical,6.61,Male,87,132,2,22,1,136,83,36,40,16,19,2,1,1
235,4,Mechanical,9.28,Female,68,48,1,3,2,162,99,29,53,9,8,0,7,1
236,2,Civil,5.86,Female,67,47,3,9,1,161,65,48,98,7,1,3,5,1
237,2,Mechanical,7.34,Female,73,49,4,28,1,28,53,18,73,12,11,4,8,0
238,3,Mechanical,9.39,Female,99,136,6,24,5,134,83,9,89,0,3,3,5,1
239,4,Civil,5.24,Female,93,171,2,32,1,158,91,47,45,11,16,4,2,1
240,2,ECE,6.52,Male,72,112,3,24,2,82,48,34,58,13,3,1,3,1
241,3,CSE,9.55,Female,77,108,2,7,1,75,37,15,66,7,16,4,6,1
242,4,CSE,7.98,Male,73,181,4,21,2,43,90,49,93,16,0,0,4,1
243,1,CSE,8.58,Male,44,180,4,39,6,170,83,46,62,18,18,4,8,1
244,3,CSE,9.21,Male,69,45,2,1,1,58,98,28,92,18,13,0,4,1
245,2,CSE,7.62,Male,61,159,5,38,2,165,43,15,75,15,5,4,6,1
246,1,CSE,9.23,Female,42,30,4,25,2,197,85,10,44,18,8,2,8,1
247,1,Mechanical,8.19,Male,68,155,6,26,3,54,51,26,83,4,0,1,9,0
248,1,CSE,8.43,Male,70,184,3,32,2,15,67,48,95,2,18,4,9,1
249,3,Mechanical,5.76,Female,69,151,4,14,4,70,76,43,49,4,19,2,5,0
250,2,Civil,9.7,Female,68,37,2,29,6,127,51,9,99,0,2,1,1,0
251,1,ECE,8.98,Female,70,199,3,8,2,138,54,8,51,18,1,1,9,0
252,4,Mechanical,6.27,Female,63,27,6,16,2,56,62,28,94,18,0,1,7,1
253,1,ECE,7.9,Female,92,165,2,25,3,130,36,11,55,7,16,0,3,1
254,1,Civil,6.88,Female,80,171,2,26,2,121,71,23,78,18,5,0,6,0
255,3,CSE,8.3,Male,62,88,4,7,6,15,53,45,84,7,4,1,0,1
256,3,ECE,9.97,Male,87,29,2,25,3,59,53,42,48,3,1,2,8,1
257,2,ECE,5.23,Male,77,46,1,17,3,94,53,38,47,19,0,4,5,0
258,4,Civil,9.76,Female,97,173,5,2,4,46,52,22,62,14,10,3,9,0
259,3,Civil,5.36,Male,92,187,6,7,6,123,30,37,47,14,10,3,7,0
260,1,Civil,7.3,Male,88,188,3,29,6,167,38,32,79,1,3,4,6,1
261,2,Mechanical,7.41,Male,88,80,6,3,6,41,80,19,85,17,4,1,8,1
262,1,Mechanical,6.34,Male,73,94,6,36,2,117,96,31,65,11,15,3,8,1
263,1,ECE,7.83,Female,63,155,5,14,5,103,78,25,96,3,13,1,0,0
264,3,Civil,9.17,Male,64,73,2,9,4,148,74,12,92,0,16,4,2,1
265,2,ECE,6.47,Female,41,199,3,9,4,62,31,17,84,19,17,2,6,1
266,4,CSE,5.35,Female,45,112,4,34,6,154,33,35,57,17,6,3,5,0
267,4,Civil,8.16,Female,80,196,2,32,2,85,79,38,78,15,12,1,4,1
268,3,Mechanical,8.76,Male,97,111,5,11,2,132,45,32,58,15,10,3,6,0
269,3,Civil,9.77,Female,71,39,6,20,1,74,73,35,45,0,16,1,2,1
270,2,ECE,5.8,Male,83,152,1,14,2,149,69,27,68,1,10,4,5,0
271,4,Mechanical,9.51,Female,52,11,3,22,4,42,74,48,74,0,19,3,9,0
272,4,CSE,7.41,Male,55,140,4,29,2,88,32,13,71,16,9,3,4,0
273,4,CSE,6.18,Female,65,19,6,17,5,151,83,5,45,6,10,2,8,1
274,1,ECE,9.81,Male,49,196,5,30,2,187,68,25,63,4,6,4,1,0
275,4,Civil,6.19,Female,43,157,1,8,1,79,98,8,75,13,18,3,4,1
276,1,CSE,8.67,Female,53,83,5,39,4,43,69,28,50,9,5,2,2,0
277,2,ECE,8.92,Female,63,25,5,27,4,101,70,6,48,6,3,3,0,0
278,1,Mechanical,7.15,Female,77,13,2,37,4,186,53,47,61,0,1,0,2,1
279,2,Mechanical,8.45,Female,76,33,6,2,5,148,53,32,73,11,15,4,1,0
280,4,ECE,7.86,Female,78,65,1,8,3,122,71,29,41,18,13,3,1,1
281,4,Civil,5.96,Female,62,58,5,21,4,197,47,7,85,11,13,0,4,1
282,2,Civil,8.8,Female,50,15,2,4,2,194,80,21,89,14,4,2,2,1
283,3,Civil,9.64,Female,47,18,5,23,3,94,74,40,77,9,2,0,2,1
284,2,Civil,7.44,Male,45,11,5,12,2,75,45,40,59,4,1,4,5,0
285,3,ECE,9.97,Male,73,25,6,19,3,55,93,5,94,0,7,2,4,1
286,1,ECE,7.14,Female,76,147,1,14,5,18,85,5,48,0,18,3,4,1
287,1,Mechanical,7.4,Female,72,57,5,11,1,47,64,43,74,6,9,3,5,1
288,1,Mechanical,8.37,Female,84,140,5,7,5,107,38,21,63,15,8,1,2,1
289,4,Civil,5.93,Male,94,158,2,7,1,71,62,34,44,15,14,1,5,0
290,1,CSE,9.51,Female,49,53,6,37,3,189,66,35,72,10,12,2,6,1
291,3,CSE,9.01,Male,75,110,5,19,5,181,90,40,58,17,1,2,2,1
292,1,Mechanical,9.36,Female,46,105,4,38,3,197,84,45,83,19,16,2,2,0
293,2,Mechanical,8.05,Male,90,116,3,23,2,193,82,5,63,7,7,2,7,1
294,2,ECE,9.42,Female,56,84,4,6,5,186,50,17,88,2,19,4,1,0
295,4,Mechanical,8.4,Female,59,190,6,37,1,51,34,14,55,10,2,1,0,1
296,2,Mechanical,7.56,Male,97,148,2,1,3,99,30,38,91,7,13,1,4,0
297,3,Civil,9.66,Female,86,171,6,8,5,127,52,49,64,11,19,2,0,0
298,1,CSE,7.2,Male,67,10,1,14,6,56,88,9,99,2,15,0,0,1
299,4,CSE,7.5,Male,63,172,6,11,5,114,56,13,75,6,10,0,9,0
300,1,ECE,5.85,Male,77,15,2,33,6,135,38,37,89,15,6,3,3,1
301,1,CSE,9.74,Female,48,27,2,14,6,10,38,39,80,11,0,1,1,1
302,3,Civil,6.11,Female,93,82,6,19,5,158,89,38,88,10,3,0,3,0
303,2,Civil,6.01,Male,69,32,1,5,5,168,71,17,56,7,10,3,0,0
304,2,ECE,5.51,Female,78,34,1,33,1,109,39,39,60,9,16,1,6,0
305,1,Mechanical,7.27,Male,92,133,1,12,2,118,98,45,57,19,14,2,3,0
306,4,Mechanical,6.37,Female,75,111,2,20,5,108,67,10,85,13,7,1,1,1
307,2,Civil,8.7,Male,56,179,1,11,4,75,83,30,54,6,2,4,4,1
308,4,ECE,6.54,Female,91,127,4,34,5,18,93,37,57,19,8,0,9,1
309,2,Civil,8.6,Male,55,133,2,31,4,112,46,31,98,4,9,4,9,0
310,4,CSE,5.98,Female,73,26,6,9,2,196,67,44,69,12,12,1,1,1
311,3,CSE,6.15,Female,82,122,1,24,1,122,89,11,98,13,6,1,4,0
312,4,Civil,9.03,Male,46,18,4,16,3,183,67,49,69,17,17,3,1,1
313,3,Mechanical,6.86,Male,66,187,1,27,6,177,31,45,77,2,3,0,9,0
314,3,CSE,5.56,Female,90,47,5,14,3,171,74,48,86,13,11,4,0,1
