Student_ID,College,College_Tier,Department,CGPA,Gender,Program_Type,Attendance_%,Sessions_Attended,Sessions_Missed,Weekly_Consistency_Score,Login_Frequency,Time_Spent_Hours,Active_Days_Per_Week,Session_Duration_Avg,Videos_Watched,Video_Completion_%,Rewatch_Rate,Notes_Taken,Quizzes_Attempted,Quiz_Submission_Rate,Avg_Quiz_Score,Assignment_Submissions,On_Time_Submission_%,Doubts_Raised,Doubts_Resolved,Doubt_Response_Time,Peer_Discussion_Count,Hackathons_Attended,Workshops_Attended,Live_Sessions_Joined,Project_Demo_Events,Skills_Learned_Count,Domain_Transition,Project_Completion_Rate,Placement_Status,Job_Inquiries,Leads_Generated
STU028,XYZ College,Tier-3,CSE,6.9,Female,B.Tech,63,31,19,5.3,2,9,2,52,39,54,0.05,No,7,62,45,5,57,2,1,8,3,0,1,2,0,4,No,43,Not Placed,0,0
STU029,DEF College,Tier-3,DS,8.2,Male,B.Tech,87,43,7,8.5,5,18,5,77,76,85,0.13,Yes,16,90,78,15,90,10,9,2.6,13,2,3,7,1,12,Yes,82,Placed,4,2
STU030,GHI Institute,Tier-1,CSE,9.3,Female,M.Tech,97,48,2,9.7,7,30,7,96,120,98,0.25,Yes,26,99,93,25,99,20,20,1,25,4,6,11,4,20,Yes,98,Placed,9,6
STU031,JKL University,Tier-2,MECH,6.3,Male,B.Tech,51,25,25,3.9,1,5,1,38,21,35,0.03,No,4,44,31,2,40,0,0,11.8,1,0,0,1,0,2,No,26,Not Placed,0,0
STU032,MNO College,Tier-3,IT,7.7,Female,B.Tech,79,39,11,7.4,4,14,4,69,62,76,0.1,Yes,12,82,69,11,80,6,5,4,8,1,2,5,1,9,No,69,Not Placed,2,1
STU033,PQR Institute,Tier-1,AI/ML,9.5,Male,M.Tech,98,49,1,9.8,7,32,7,97,128,99,0.29,Yes,27,100,94,26,100,21,21,0.9,27,5,6,11,4,21,Yes,99,Placed,10,7
STU034,LMN University,Tier-2,EEE,7.3,Female,B.Tech,73,36,14,6.6,3,12,3,63,51,67,0.08,No,10,77,60,9,72,4,3,5.5,6,1,1,4,0,7,No,58,Not Placed,1,0
STU035,ABC Engineering,Tier-2,CSE,8.4,Male,B.Tech,90,45,5,9,6,22,5,83,87,91,0.15,Yes,18,94,83,17,94,12,11,2.2,16,2,4,8,2,14,Yes,88,Placed,5,3
STU036,XYZ College,Tier-3,CIVIL,5.9,Female,B.Tech,44,22,28,3.2,1,3,1,31,14,26,0.01,No,2,31,22,1,28,0,0,14.1,0,0,0,0,0,1,No,18,Not Placed,0,0
STU037,DEF College,Tier-3,CSE,7.4,Male,B.Tech,76,38,12,6.9,4,13,4,66,55,71,0.09,Yes,11,79,65,10,76,5,4,4.5,7,1,2,4,1,8,No,65,Not Placed,1,0
STU038,GHI Institute,Tier-1,DS,8.6,Female,B.Tech,92,46,4,9.2,7,24,6,86,93,93,0.17,Yes,20,96,86,19,95,14,13,1.7,18,3,4,8,2,15,Yes,91,Placed,6,4
STU039,JKL University,Tier-2,IT,7.6,Male,B.Tech,81,40,10,7.7,4,15,4,71,65,78,0.1,Yes,13,84,71,12,82,7,6,3.6,9,1,2,5,1,9,No,72,Placed,2,1
STU040,MNO College,Tier-3,CSE,6.6,Female,B.Tech,58,29,21,4.6,2,7,2,46,30,46,0.04,No,6,55,40,4,50,1,0,9.4,2,0,0,1,0,3,No,35,Not Placed,0,0
STU041,PQR Institute,Tier-1,CSE,9,Male,M.Tech,95,47,3,9.5,7,27,6,90,107,96,0.2,Yes,23,98,90,22,98,17,16,1.3,21,4,5,10,3,18,Yes,95,Placed,8,5
STU042,LMN University,Tier-2,AI/ML,8,Female,B.Tech,84,42,8,8.1,5,17,5,74,71,82,0.12,Yes,15,87,74,14,86,9,8,2.9,12,2,3,6,1,11,Yes,78,Placed,3,2
STU043,ABC Engineering,Tier-2,MECH,6.2,Male,B.Tech,50,25,25,3.7,1,5,1,37,20,34,0.02,No,3,43,29,2,39,0,0,11.5,1,0,0,0,0,2,No,25,Not Placed,0,0
STU044,XYZ College,Tier-3,IT,7,Female,B.Tech,66,33,17,5.8,3,10,3,57,43,60,0.07,No,8,67,50,6,62,2,1,7.2,4,0,1,2,0,5,No,47,Not Placed,0,0
STU045,DEF College,Tier-3,CSE,8.1,Male,B.Tech,86,43,7,8.4,5,18,5,76,75,84,0.12,Yes,16,89,77,15,89,10,9,2.7,13,2,3,7,1,12,Yes,81,Placed,4,2
STU046,GHI Institute,Tier-1,AI/ML,9.7,Female,M.Tech,99,49,1,9.9,7,34,7,100,135,100,0.32,Yes,30,100,98,29,100,25,25,0.5,31,5,6,12,4,24,Yes,100,Placed,12,8
STU047,JKL University,Tier-2,EEE,7.1,Male,B.Tech,69,34,16,6.1,3,10,3,58,45,62,0.07,No,9,70,53,7,65,3,2,6.6,5,0,1,3,0,5,No,50,Not Placed,1,0
STU048,MNO College,Tier-3,DS,7.8,Female,B.Tech,83,41,9,7.9,4,16,4,72,67,80,0.11,Yes,14,85,73,13,84,8,7,3.3,10,1,2,6,1,10,No,75,Placed,3,1
STU049,PQR Institute,Tier-1,CSE,8.4,Male,B.Tech,91,45,5,9.1,6,23,5,84,89,92,0.16,Yes,19,95,84,18,95,13,12,1.9,17,3,4,8,2,14,Yes,90,Placed,6,3
STU050,LMN University,Tier-2,MECH,6.6,Female,B.Tech,60,30,20,5,2,8,2,49,33,50,0.05,No,7,63,46,5,58,2,1,8.5,3,0,1,2,0,4,No,39,Not Placed,0,0
STU051,ABC Engineering,Tier-2,CSE,7.9,Male,B.Tech,82,41,9,7.8,5,16,4,72,67,80,0.11,Yes,14,85,73,13,83,8,7,3.2,10,1,2,6,1,10,No,74,Placed,3,1
STU052,XYZ College,Tier-3,CIVIL,6,Female,B.Tech,46,23,27,3.4,1,4,1,33,16,28,0.02,No,3,35,25,1,32,0,0,13.2,1,0,0,0,0,2,No,20,Not Placed,0,0
STU053,DEF College,Tier-3,IT,7.5,Male,B.Tech,77,38,12,7.1,4,13,4,67,57,73,0.09,Yes,12,80,66,10,77,6,5,4.2,8,1,2,5,1,8,No,67,Not Placed,2,1
STU054,GHI Institute,Tier-1,CSE,9.2,Female,M.Tech,96,48,2,9.7,7,29,7,95,117,97,0.24,Yes,25,99,91,24,99,18,18,1.2,23,4,5,10,3,19,Yes,96,Placed,8,5
STU055,JKL University,Tier-2,AI/ML,8.5,Male,B.Tech,90,45,5,9,6,22,5,82,86,91,0.15,Yes,18,94,83,17,94,12,11,2.1,16,2,4,8,2,13,Yes,87,Placed,5,3
STU056,MNO College,Tier-3,ECE,6.7,Female,B.Tech,61,30,20,5.1,2,8,2,50,37,52,0.05,No,7,60,43,5,55,1,0,8.9,3,0,1,2,0,4,No,41,Not Placed,0,0
STU057,PQR Institute,Tier-1,DS,9.1,Male,M.Tech,97,48,2,9.8,7,28,6,93,112,97,0.22,Yes,24,99,90,23,98,17,17,1.3,22,4,5,10,3,18,Yes,95,Placed,8,5
STU058,LMN University,Tier-2,CSE,7.7,Female,B.Tech,80,40,10,7.6,4,15,4,70,64,78,0.1,Yes,13,83,71,12,81,7,6,3.7,9,1,2,5,1,9,No,71,Placed,2,1
STU059,ABC Engineering,Tier-2,MECH,6.4,Male,B.Tech,55,27,23,4.2,2,6,2,43,28,42,0.04,No,5,53,38,3,48,1,0,9.7,2,0,0,1,0,3,No,32,Not Placed,0,0
STU060,XYZ College,Tier-3,IT,7.3,Female,B.Tech,73,36,14,6.6,3,12,3,63,51,67,0.08,Yes,10,76,59,9,71,4,3,5.5,6,1,1,4,0,7,No,58,Not Placed,1,0
STU061,DEF College,Tier-3,CSE,8,Male,B.Tech,85,42,8,8.2,5,17,5,74,71,82,0.12,Yes,15,87,75,14,86,9,8,2.8,12,2,3,6,1,11,Yes,79,Placed,3,2
STU062,GHI Institute,Tier-1,AI/ML,9.4,Female,M.Tech,98,49,1,9.8,7,31,7,97,122,99,0.26,Yes,26,100,93,25,100,19,19,1.1,25,4,6,11,3,20,Yes,97,Placed,9,6
STU063,JKL University,Tier-2,EEE,7,Male,B.Tech,67,33,17,5.9,3,10,3,56,42,59,0.06,No,8,67,50,6,62,2,1,7.5,4,0,1,2,0,5,No,47,Not Placed,0,0
STU064,MNO College,Tier-3,CIVIL,5.8,Female,B.Tech,43,21,29,3.1,1,3,1,30,13,25,0.01,No,2,29,20,1,26,0,0,14.8,0,0,0,0,0,1,No,16,Not Placed,0,0
STU065,PQR Institute,Tier-1,CSE,8.9,Male,B.Tech,94,47,3,9.4,7,26,6,89,103,95,0.19,Yes,22,97,88,21,96,16,15,1.4,20,3,5,9,3,17,Yes,93,Placed,7,4
STU066,LMN University,Tier-2,DS,8.3,Female,B.Tech,88,44,6,8.8,6,20,5,80,80,88,0.13,Yes,17,92,80,16,92,11,10,2.4,15,2,4,7,2,13,Yes,84,Placed,5,3
STU067,ABC Engineering,Tier-2,IT,7.1,Male,B.Tech,70,35,15,6.3,3,11,3,60,47,64,0.07,No,9,72,56,8,68,3,2,6.3,5,1,1,3,0,6,No,54,Not Placed,1,0
STU068,XYZ College,Tier-3,CSE,7.6,Female,B.Tech,79,39,11,7.4,4,14,4,68,61,75,0.1,Yes,12,81,68,11,79,6,5,4.1,8,1,2,5,1,9,No,68,Not Placed,2,1
STU069,DEF College,Tier-3,AI/ML,8.7,Male,M.Tech,91,45,5,9,6,23,5,85,91,92,0.16,Yes,19,95,84,18,95,13,12,2,17,3,4,8,2,14,Yes,89,Placed,6,3
STU070,GHI Institute,Tier-1,CSE,9.3,Female,M.Tech,97,48,2,9.7,7,30,7,96,119,98,0.25,Yes,26,99,92,25,99,20,20,1,25,4,6,11,4,20,Yes,98,Placed,9,6
STU071,JKL University,Tier-2,MECH,6.1,Male,B.Tech,49,24,26,3.6,1,5,1,36,19,32,0.02,No,3,41,28,2,37,0,0,12.1,1,0,0,1,0,2,No,23,Not Placed,0,0
STU072,MNO College,Tier-3,CSE,7.4,Female,B.Tech,75,37,13,6.8,3,13,3,65,53,69,0.08,Yes,11,79,64,10,76,5,4,4.6,7,1,2,4,1,8,No,63,Not Placed,1,0
STU073,PQR Institute,Tier-1,DS,8.8,Male,B.Tech,93,46,4,9.3,7,25,6,88,99,94,0.18,Yes,21,97,87,20,96,15,14,1.6,19,3,5,9,3,16,Yes,92,Placed,7,4
STU074,LMN University,Tier-2,ECE,7.3,Female,B.Tech,74,37,13,6.7,3,12,3,64,51,67,0.08,No,10,77,60,9,72,4,3,5.6,6,1,1,4,0,7,No,58,Not Placed,1,0
STU075,ABC Engineering,Tier-2,CSE,8.2,Male,B.Tech,87,43,7,8.6,5,19,5,78,77,86,0.13,Yes,16,90,78,15,90,10,9,2.5,13,2,3,7,1,12,Yes,82,Placed,4,2
STU076,XYZ College,Tier-3,IT,6.5,Female,B.Tech,57,28,22,4.4,2,6,2,44,29,44,0.04,No,5,54,39,4,50,1,0,9.9,2,0,0,1,0,3,No,33,Not Placed,0,0
STU077,DEF College,Tier-3,CSE,7.8,Male,B.Tech,81,40,10,7.7,4,15,4,71,65,79,0.11,Yes,13,84,72,12,82,7,6,3.6,9,1,2,5,1,9,No,72,Placed,2,1
STU078,GHI Institute,Tier-1,AI/ML,9.6,Female,M.Tech,99,49,1,9.9,7,33,7,98,130,99,0.3,Yes,28,100,96,27,100,22,22,0.7,29,5,6,12,4,22,Yes,99,Placed,10,7
STU079,JKL University,Tier-2,EEE,7.2,Male,B.Tech,70,35,15,6.3,3,11,3,60,47,64,0.07,No,9,72,56,8,68,3,2,6.3,5,0,1,3,0,6,No,55,Not Placed,1,0
STU080,MNO College,Tier-3,MECH,6.3,Female,B.Tech,52,26,24,4,1,5,1,39,21,36,0.03,No,4,45,31,2,41,0,0,11.3,1,0,0,1,0,2,No,27,Not Placed,0,0
STU081,PQR Institute,Tier-1,CSE,9.1,Male,M.Tech,96,48,2,9.6,7,28,6,92,110,96,0.21,Yes,23,98,90,22,98,17,16,1.3,21,4,5,10,3,18,Yes,95,Placed,8,5
STU082,LMN University,Tier-2,AI/ML,8.4,Female,B.Tech,89,44,6,8.9,6,21,5,81,82,90,0.14,Yes,18,93,82,17,93,12,11,2.2,16,2,4,8,2,13,Yes,87,Placed,5,3
STU083,ABC Engineering,Tier-2,CIVIL,6,Male,B.Tech,45,22,28,3.3,1,3,1,32,14,27,0.02,No,2,32,22,1,29,0,0,13.8,0,0,0,0,0,1,No,18,Not Placed,0,0
STU084,XYZ College,Tier-3,CSE,7.7,Female,B.Tech,80,40,10,7.6,4,15,4,70,63,78,0.1,Yes,13,83,70,12,81,7,6,3.7,9,1,2,5,1,9,No,70,Not Placed,2,1
STU085,DEF College,Tier-3,IT,8,Male,B.Tech,84,42,8,8.1,5,17,5,73,70,82,0.12,Yes,15,87,74,14,85,9,8,2.9,11,2,3,6,1,11,Yes,78,Placed,3,2
STU086,GHI Institute,Tier-1,DS,9.4,Female,M.Tech,98,49,1,9.8,7,31,7,96,121,98,0.26,Yes,26,100,93,25,100,19,19,1.1,24,4,6,11,3,20,Yes,97,Placed,9,6
STU087,JKL University,Tier-2,CSE,7.5,Male,B.Tech,77,38,12,7.2,4,13,4,67,57,73,0.09,Yes,12,81,67,11,78,6,5,4,8,1,2,5,1,8,No,67,Not Placed,2,0
STU088,MNO College,Tier-3,ECE,6.8,Female,B.Tech,63,31,19,5.2,2,9,2,51,38,53,0.05,No,7,62,45,5,56,2,1,8.1,3,0,1,2,0,4,No,42,Not Placed,0,0
STU089,PQR Institute,Tier-1,AI/ML,9.5,Male,M.Tech,98,49,1,9.8,7,32,7,97,127,99,0.29,Yes,27,100,94,26,100,21,20,0.9,27,5,6,11,4,21,Yes,99,Placed,10,7
STU090,LMN University,Tier-2,IT,7.6,Female,B.Tech,80,40,10,7.5,4,15,4,70,64,78,0.1,Yes,13,83,71,12,81,7,6,3.6,9,1,2,5,1,9,No,71,Placed,2,1
STU091,ABC Engineering,Tier-2,CSE,8.6,Male,B.Tech,91,45,5,9.1,6,23,5,84,90,92,0.16,Yes,19,95,85,18,95,13,12,1.9,17,3,4,8,2,14,Yes,90,Placed,6,3
STU092,XYZ College,Tier-3,MECH,6.4,Female,B.Tech,54,27,23,4.1,2,6,2,42,27,41,0.04,No,5,52,37,3,47,1,0,9.8,2,0,0,1,0,3,No,31,Not Placed,0,0
STU093,DEF College,Tier-3,DS,7.9,Male,B.Tech,82,41,9,7.8,4,16,4,72,66,80,0.11,Yes,14,85,72,13,83,8,7,3.3,10,1,2,6,1,10,No,74,Placed,2,1
STU094,GHI Institute,Tier-1,CSE,8.7,Female,B.Tech,92,46,4,9.2,6,24,5,85,92,93,0.17,Yes,20,96,85,19,96,14,13,1.7,18,3,4,8,2,15,Yes,91,Placed,6,4
STU095,JKL University,Tier-2,AI/ML,8.1,Male,M.Tech,86,43,7,8.5,5,18,5,77,76,85,0.12,Yes,16,90,79,15,90,10,9,2.6,13,2,3,7,1,12,Yes,82,Placed,4,2
STU096,MNO College,Tier-3,EEE,7,Female,B.Tech,66,33,17,5.8,3,10,3,56,42,59,0.07,No,8,67,50,6,62,2,1,7.3,4,0,1,2,0,5,No,47,Not Placed,0,0
STU097,PQR Institute,Tier-1,CSE,9,Male,M.Tech,95,47,3,9.5,7,27,6,90,106,96,0.2,Yes,22,98,89,21,98,16,16,1.3,21,4,5,10,3,18,Yes,94,Placed,8,5
STU098,LMN University,Tier-2,MECH,6.7,Female,B.Tech,62,31,19,5.2,2,8,2,50,34,51,0.05,No,7,62,45,5,57,2,1,8.4,3,0,1,2,0,4,No,40,Not Placed,0,0
STU099,ABC Engineering,Tier-2,IT,7.8,Male,B.Tech,83,41,9,7.9,5,16,4,72,67,81,0.11,Yes,14,85,73,13,83,8,7,3.2,10,1,2,6,1,10,No,75,Placed,3,1
STU100,XYZ College,Tier-3,CSE,9,Female,B.Tech,94,47,3,9.4,7,26,6,88,101,95,0.19,Yes,22,97,88,21,96,16,15,1.5,20,3,5,9,3,17,Yes,93,Placed,7,4
